tti;sch_eligible_ue_count;sch_active_ue_count;dl_rb_allocated_count;dl_rb_per_ue_avg;dl_bits_per_rb_avg;dl_capacity_bits_sum_tti;dl_transmitted_bits_sum_tti;dl_throughput_sum_kbps;dl_cqi_wb_avg_idx;dl_sinr_avg;buffer_size_sum_bytes;sch_total_time_us;pdcch_cce_total_count;pdcch_cce_allocated_count;sch_priority_calc_time_us;sch_priority_sort_time_us;dl_prb_utilization_pct;sch_priority_list_size;sch_pdcch_blocked_count;sch_avg_priority_value;sch_eligible_to_active_ratio;sch_priority_min;sch_priority_max;sch_priority_std;dl_throughput_kbps_min;dl_throughput_kbps_max;dl_throughput_kbps_avg;dl_throughput_kbps_std;dl_cqi_wb_idx_min;dl_cqi_wb_idx_max;dl_cqi_wb_idx_avg;dl_cqi_wb_idx_std;dl_sinr_min;dl_sinr_max;dl_sinr_std;dl_rb_utilization_pct;dl_rb_wasted_count;dl_rb_idle_count;dl_spectral_efficiency_bps_hz;dl_spectral_efficiency_avg_ue;dl_spectral_efficiency_peak;dl_throughput_cv_pct;dl_cqi_cv_pct;dl_sinr_cv_pct;dl_rb_allocation_cv_pct;dl_spectral_efficiency_cv_pct;dl_fairness_jain_index;dl_throughput_variance;dl_throughput_std
0;3;3;44;14,67;194,57;19026;17122;17122,0;7,67;7,82;5253;737,9;25;14;40,4;33,5;88,0;3;0;2,0;100,0;1;3;0,82;2142,0;10044,0;5707,33;3271,76;3,0;11,0;8,0;3,0;-2,64;14,95;7,56;89,99;4;6;1,7122;0,5707;1,0044;57,33;44,34;14,47;27,46;57,33;0,7527;10704411555555,56;3271759,7
1;3;3;50;16,67;243,36;24336;24336;24336,0;7,33;7,74;14350;613,1;25;14;18,9;30,2;100,0;3;0;2,0;100,0;1;3;0,82;1170,0;13680,0;8112,0;5198,78;2,0;11,0;7,0;4,0;-2,82;14,88;7,62;100,0;0;0;2,4336;0,8112;1,368;64,09;52,62;14,24;7,48;64,09;0,7089;27027288000000,0;5198777,55
2;3;3;50;16,67;226,94;22694;22694;22694,0;7,33;7,69;25580;586,5;25;14;13,3;25,4;100,0;3;0;2,0;100,0;1;3;0,82;1404,0;12920,0;7564,67;4735,75;2,0;11,0;7,0;4,0;-2,88;14,84;7,63;100,0;0;0;2,2694;0,7565;1,292;62,6;52,62;14,39;7,48;62,6;0,7184;22427323555555,55;4735749,52
3;3;3;50;16,67;227,7;22770;22770;22770,0;7,33;7,7;39323;553,0;25;14;11,5;23,3;100,0;3;0;2,0;100,0;1;3;0,82;1326,0;11400,0;7590,0;4463,78;2,0;11,0;7,0;4,0;-2,84;14,84;7,61;100,0;0;0;2,277;0,759;1,14;58,81;52,62;14,38;7,48;58,81;0,743;19925304000000,0;4463776,88
4;3;3;50;16,67;243,36;24336;24336;24336,0;7,33;7,66;48826;616,6;25;14;11,4;19,2;100,0;3;0;2,0;100,0;1;3;0,82;1170,0;13680,0;8112,0;5198,78;2,0;11,0;7,0;4,0;-2,9;14,79;7,62;100,0;0;0;2,4336;0,8112;1,368;64,09;52,62;14,32;7,48;64,09;0,7089;27027288000000,0;5198777,55
5;3;3;50;16,67;226,94;22694;22694;22694,0;7,33;7,7;62926;539,4;25;14;11,3;43,0;100,0;3;0;2,0;100,0;1;3;0,82;1404,0;12920,0;7564,67;4735,75;2,0;11,0;7,0;4,0;-2,84;14,79;7,6;100,0;0;0;2,2694;0,7565;1,292;62,6;52,62;13,99;7,48;62,6;0,7184;22427323555555,55;4735749,52
6;3;3;50;16,67;227,7;22770;22770;22770,0;7,33;7,76;73869;535,2;25;14;11,3;22,3;100,0;3;0;2,0;100,0;1;3;0,82;1326,0;11400,0;7590,0;4463,78;2,0;11,0;7,0;4,0;-2,75;14,8;7,57;100,0;0;0;2,277;0,759;1,14;58,81;52,62;13,77;7,48;58,81;0,743;19925304000000,0;4463776,88
7;3;3;50;16,67;250,56;25056;25056;25056,0;7,67;7,81;85741;528,5;25;14;10,2;20,4;100,0;3;0;2,0;100,0;1;3;0,82;1890,0;13680,0;8352,0;4879,58;3,0;11,0;8,0;3,0;-2,66;14,8;7,54;100,0;0;0;2,5056;0,8352;1,368;58,42;44,34;13,49;7,48;58,42;0,7455;23810328000000,0;4879582,77
8;3;3;50;16,67;235,58;23558;23558;23558,0;7,67;7,87;94641;570,8;25;14;15,9;48,7;100,0;3;0;2,0;100,0;1;3;0,82;2268,0;12920,0;7852,67;4364,02;3,0;11,0;8,0;3,0;-2,43;14,76;7,42;100,0;0;0;2,3558;0,7853;1,292;55,57;44,34;13,3;7,48;55,57;0,764;19044667555555,56;4364019,66
9;3;3;50;16,67;235,86;23586;23586;23586,0;7,67;7,9;106931;456,3;25;14;11,5;20,7;100,0;3;0;2,0;100,0;1;3;0,82;2142,0;11400,0;7862,0;4082,36;3,0;11,0;8,0;3,0;-2,27;14,79;7,34;100,0;0;0;2,3586;0,7862;1,14;51,93;44,34;13,84;7,48;51,93;0,7876;16665656000000,0;4082359,12
10;3;3;50;16,67;250,56;25056;25056;25056,0;7,67;7,89;111256;439,9;25;14;10,7;19,6;100,0;3;0;2,0;100,0;1;3;0,82;1890,0;13680,0;8352,0;4879,58;3,0;11,0;8,0;3,0;-2,23;14,8;7,32;100,0;0;0;2,5056;0,8352;1,368;58,42;44,34;14,27;7,48;58,42;0,7455;23810328000000,0;4879582,77
11;3;3;50;16,67;235,58;23558;23558;23558,0;7,67;7,87;124911;410,9;25;14;9,1;15,5;100,0;3;0;2,0;100,0;1;3;0,82;2268,0;12920,0;7852,67;4364,02;3,0;11,0;8,0;3,0;-2,24;14,8;7,31;100,0;0;0;2,3558;0,7853;1,292;55,57;44,34;14,6;7,48;55,57;0,764;19044667555555,56;4364019,66
12;3;3;50;16,67;235,86;23586;23586;23586,0;7,67;7,84;135512;858,0;25;14;30,3;24,2;100,0;3;0;2,0;100,0;1;3;0,82;2142,0;11400,0;7862,0;4082,36;3,0;11,0;8,0;3,0;-2,39;14,83;7,4;100,0;0;0;2,3586;0,7862;1,14;51,93;44,34;14,43;7,48;51,93;0,7876;16665656000000,0;4082359,12
13;3;3;50;16,67;250,56;25056;25056;25056,0;7,67;7,88;146034;683,6;25;14;14,7;28,3;100,0;3;0;2,0;100,0;1;3;0,82;1890,0;13680,0;8352,0;4879,58;3,0;11,0;8,0;3,0;-2,32;14,86;7,37;100,0;0;0;2,5056;0,8352;1,368;58,42;44,34;14,56;7,48;58,42;0,7455;23810328000000,0;4879582,77
