TTI,UE_ID,Num_RBs,RBs,Num_CCE,Tx_Bits,Buffer_Size,Wideband CQI,Subband CQI,SINR
0,1,0,0,0,0,0,12,"[14, 14, 13, 14, 12, 8, 13, 7, 11, 12, 8, 13, 13, 8, 14, 14, 8]",16.9722
0,2,0,0,0,0,0,3,"[6, 3, 2, 4, 5, 3, 5, 4, 1, 1, 3, 4, 2, 1, 1, 3, 1]",-2.4355
0,3,0,0,0,0,0,8,"[8, 6, 5, 6, 6, 9, 6, 7, 8, 8, 10, 7, 9, 11, 6, 8, 10]",8.4043
1,1,6,"[0, 1, 2, 9, 10, 11]",2,5560,0,12,"[14, 14, 13, 14, 12, 9, 13, 7, 11, 12, 8, 13, 13, 9, 14, 14, 8]",17.1383
1,2,17,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41, 48, 49]",8,5712,7256,3,"[6, 4, 3, 4, 5, 4, 5, 4, 2, 1, 2, 4, 2, 1, 1, 3, 1]",-2.022
1,3,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",4,10080,1192,8,"[8, 5, 5, 6, 6, 9, 6, 6, 8, 8, 10, 8, 9, 11, 6, 8, 10]",8.3368
2,1,17,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41, 48, 49]",2,17136,1000,12,"[14, 14, 13, 14, 12, 10, 13, 8, 11, 12, 9, 13, 13, 9, 14, 14, 8]",17.2538
2,2,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",8,5040,6792,3,"[7, 5, 4, 5, 6, 4, 5, 5, 3, 1, 1, 4, 3, 1, 1, 3, 1]",-1.1491
2,3,3,"[0, 1, 2]",4,1192,0,8,"[8, 5, 5, 6, 6, 9, 6, 6, 9, 8, 10, 8, 9, 11, 6, 8, 10]",8.2009
3,1,9,"[3, 4, 5, 9, 10, 11, 15, 16, 17]",2,6592,0,12,"[13, 14, 13, 14, 12, 10, 12, 9, 11, 12, 9, 13, 13, 9, 14, 14, 8]",17.3258
3,2,21,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38]",8,6792,0,4,"[7, 6, 4, 5, 6, 5, 4, 5, 4, 2, 2, 4, 4, 2, 1, 3, 1]",0.0304
3,3,0,0,0,0,0,8,"[8, 5, 5, 6, 6, 9, 6, 6, 9, 7, 10, 8, 9, 11, 6, 8, 10]",8.148
4,1,12,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20]",2,10104,0,12,"[13, 14, 13, 14, 12, 10, 12, 9, 11, 12, 10, 13, 12, 9, 13, 14, 9]",17.3181
4,2,24,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35, 39, 40, 41, 45, 46, 47]",8,8064,10240,4,"[7, 6, 5, 5, 6, 5, 5, 6, 4, 3, 3, 5, 4, 3, 1, 3, 1]",1.1989
4,3,0,0,0,0,0,8,"[8, 5, 5, 6, 6, 9, 7, 6, 9, 7, 10, 8, 9, 11, 6, 8, 10]",8.1432
